country code,country_long,name of powerplant,capacity in MW,latitude,longitude,primary_fuel,secondary fuel,other_fuel2,other_fuel3,start date,owner of plant,generation_gwh_2021,geolocation_source,estimated_generation_gwh_2021
CAN,Canada,Chiblow Lake,1.7,46.3126,-83.0655,Hydro,,,,,1149377 Ontario Limited,,Natural Resources Canada,3.46
CAN,Canada,Chicoutimi,8.2,48.4262,-71.0763,Hydro,,,,,Hydro Saguenay,,Natural Resources Canada,35.71
CAN,Canada,Chin Chute,30,49.6933,-112.3292,Wind,,,,,Suncor / EHN/ Enbridge,,Natural Resources Canada,
CAN,Canada,Chin Hydro Plant,11,49.6756,-112.3446,Hydro,,,,,,,Natural Resources Canada,24.55
CAN,Canada,China Creek,6.5,49.1856,-124.7395,Hydro,,,,,Synex (12.5%) / Hupacasath & Ucluelet  First Nations & the City of Port Alberni (87.5%),,Natural Resources Canada,24.87
CAN,Canada,Christina Lake,179,55.665,-110.7185,Gas,,,,,MEG Energy,,Natural Resources Canada,
CAN,Canada,Churchill Falls,5428,53.5294,-63.9651,Hydro,,,,,,,Natural Resources Canada,22385.04
CAN,Canada,Chute,3,47.84,-80.4486,Hydro,,,,,Hydro-Electric Power Commission of Ontario,,Natural Resources Canada,13.1
CAN,Canada,Chute Garneau,5.3,48.3864,-71.1289,Hydro,,,,,Ville de Saguenay /Hydro-Jonquière,,Natural Resources Canada,23.02
CAN,Canada,Chute-Allard,62,47.8929,-73.7183,Hydro,,,,,Hydro-Québec,,Natural Resources Canada,302.16
CAN,Canada,Chute-Bell,10,45.774,-74.6844,Hydro,,,,,Hydro-Québec,,Natural Resources Canada,51.53
CAN,Canada,Chute-Blanche,1.4,48.8425,-72.0661,Hydro,,,,,Hydro-Morin (Société en Nom Collectif),,Natural Resources Canada,5.28
CAN,Canada,Chute-Burroughs,1.6,45.1463,-72.0186,Hydro,,,,,Hydro-Québec,,Natural Resources Canada,3.4
CAN,Canada,Chute-Hemmings,29,45.8632,-72.4502,Hydro,,,,,Hydro-Québec,,Natural Resources Canada,130.97
CAN,Canada,Chute-aux-Galets,13.6,48.6511,-71.2034,Hydro,,,,,Hydro Saguenay,,Natural Resources Canada,62.31
CAN,Canada,Chute-des-Passes,854.4,49.8374,-71.1665,Hydro,,,,,Rio Tinto Alcan,,Natural Resources Canada,3009.77
CAN,Canada,Chute-du-Diable,305.8,48.7807,-71.6974,Hydro,,,,,Rio Tinto Alcan,,Natural Resources Canada,1255.42
